"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference","Seller_title","Address","Initial_price","Link","Current_price"
NA,6,"Louis Vuitton ","Speedy ","100","Fair condition","Cloth ","Brown ","35 cm","23 cm","20 cm","Italy","valentina","","16/06/2020 ","10732569","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-speedy-louis-vuitton-handbag-10732569.shtml",100
NA,15,"Louis Vuitton ","Neverfull ","100","Fair condition","Cloth ","Brown ","39 cm","32 cm","19 cm","Italy","camilla ","","30/05/2020 ","10537579","",NA,100,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-neverfull-louis-vuitton-handbag-10537579.shtml",100
NA,12,"Louis Vuitton ","Noé ","101","Fair condition","Cloth ","Brown ","26 cm","35 cm","18 cm","France","stephanie","","29/06/2020 ","10889189","",NA,139,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10889189.shtml",101
NA,9,"Louis Vuitton ","Houston ","102.39","Fair condition","Patent leather ","Green ","24.9 cm","30 cm","14 cm","United Kingdom","e","","28/09/2020 ","11976714","",NA,125.14,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/green-patent-leather-houston-louis-vuitton-handbag-11976714.shtml",102.39
NA,2,"Louis Vuitton ","Danube ","102.39","Fair condition","Cloth ","Beige ","17.8 cm","38.1 cm","35.6 cm","United Kingdom","Rubina ","","22/07/2020 ","11166542","",NA,113.76,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-danube-louis-vuitton-handbag-11166542.shtml",102.39
NA,2,"Louis Vuitton ","Alma ","103.03","Good condition","Patent leather ","Burgundy ","38.5 cm","29 cm","19 cm","United Arab Emirates","The Luxury Closet","","02/07/2020 ","10933570","Professional seller",NA,1204.64,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933570.shtml",103.03
NA,11,"Louis Vuitton ","Alma ","103.03","Good condition","Patent leather ","Burgundy ","38.5 cm","29 cm","19 cm","United Arab Emirates","The Luxury Closet","","02/07/2020 ","10933488","Professional seller",NA,1204.64,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-alma-louis-vuitton-handbag-10933488.shtml",103.03
NA,7,"Louis Vuitton ",NA,"105","Very good condition","Cloth ","Brown ","28,5 cm","22 cm","9 cm","France","Valentine","","29/06/2020 ","10891887","",NA,150,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-10891887.shtml",105
NA,9,"Louis Vuitton ",NA,"105","Good condition","Synthetic ","White ","24 cm","32 cm","6 cm","Spain","Mona","","03/06/2020 ","10576427","",NA,150,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/white-synthetic-louis-vuitton-handbag-10576427.shtml",105
NA,87,"Louis Vuitton ","Papillon ","105.67","Fair condition","Patent leather ","Yellow ",NA,NA,NA,"Japan","luxe brand cerisier","","05/03/2020 ","9630886","Professional seller",NA,132.09,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-papillon-louis-vuitton-handbag-9630886.shtml",105.67
NA,2,"Louis Vuitton ","Alma ","107.43","Good condition","Leather ","Brown ","31 cm","23.5 cm","15 cm","United Arab Emirates","The Luxury Closet","","16/01/2020 ","9196366","Professional seller",NA,1258.35,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-leather-alma-louis-vuitton-handbag-9196366.shtml",107.43
NA,28,"Louis Vuitton ","Noé ","110","Fair condition","Cloth ","Brown ","26 cm","35 cm","17 cm","Germany","lara","","20/10/2020 ","12358859","",NA,130,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-12358859.shtml",110
NA,13,"Louis Vuitton ","Antigua ","110","Very good condition","Cloth ","Ecru ","20 cm","15 cm","2.5 cm","Greece","VASILIKI","Dustbag ,Original box","24/07/2020 ","11195785","",NA,130,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/ecru-cloth-antigua-louis-vuitton-handbag-11195785.shtml",110
NA,295,"Louis Vuitton ","Noé ","110","Fair condition","Cloth ","Brown ","101.6 cm","127 cm","76.2 cm","Hungary","alba","","29/06/2020 ","10896174","",NA,130,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-noe-louis-vuitton-handbag-10896174.shtml",110
NA,2,"Louis Vuitton ","Lockit Vertical ","110","Fair condition","Cloth ","Multicolour ","22 cm","28 cm","11 cm","Italy","Alice","","21/05/2020 ","10412675","",NA,120,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/multicolour-cloth-lockit-vertical-louis-vuitton-handbag-10412675.shtml",110
NA,8,"Louis Vuitton ",NA,"110","Good condition","Patent leather ","Other ","20 cm","12,5 cm","3,5 cm","Austria","Renee","","08/05/2020 ","10258089","",NA,110,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-10258089.shtml",110
NA,20,"Louis Vuitton ","Bellevue ","111.34","Fair condition","Patent leather ","Burgundy ","45 cm","27 cm","18 cm","Hong Kong","kate","","29/06/2020 ","10904924","",NA,198.82,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-patent-leather-bellevue-louis-vuitton-handbag-10904924.shtml",111.34
NA,28,"Louis Vuitton ","Saint Cloud vintage ","111.45","Good condition","Leather ","Blue ","19 cm","16 cm","5 cm","Hong Kong","Murmur","","15/08/2020 ","11409682","",NA,193.03,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/blue-leather-saint-cloud-vintage-louis-vuitton-handbag-11409682.shtml",111.45
NA,7,"Louis Vuitton ","Nile ","113.61","Good condition","Cloth ","Brown ","27 cm","20 cm","11 cm","Hong Kong","allu","","22/08/2020 ","11475736","Professional seller",NA,113.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-nile-louis-vuitton-handbag-11475736.shtml",113.61
NA,26,"Louis Vuitton ","Tivoli ","113.61","Fair condition","Cloth ","Brown ","40 cm","26 cm","15 cm","Hong Kong","Rebecca","","03/06/2020 ","10573608","",NA,113.61,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-tivoli-louis-vuitton-handbag-10573608.shtml",113.61
NA,19,"Louis Vuitton ","Reade ","113.91","Fair condition","Patent leather ","Beige ",NA,NA,NA,"Japan","Brand street tokyo","","07/08/2020 ","11341080","Professional seller",NA,158.51,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-reade-louis-vuitton-handbag-11341080.shtml",113.91
NA,39,"Louis Vuitton ",NA,"114.48","Fair condition","Patent leather ","Camel ",NA,NA,NA,"Japan","luxe brand cerisier","","21/05/2020 ","10438663","Professional seller",NA,140.89,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/camel-patent-leather-louis-vuitton-handbag-10438663.shtml",114.48
NA,8,"Louis Vuitton ","Noé ","114.95","Fair condition","Cloth ","Beige ","25 cm","27 cm","20 cm","Switzerland","Sarah","","27/05/2020 ","10481704","",NA,114.95,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-cloth-noe-louis-vuitton-handbag-10481704.shtml",114.95
NA,2,"Louis Vuitton ","Houston ","115","Very good condition","Patent leather ","Beige ","30 cm","25 cm","13 cm","Italy","francesksca","","07/10/2020 ","12110341","",NA,115,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-patent-leather-houston-louis-vuitton-handbag-12110341.shtml",115
NA,1,"Louis Vuitton ",NA,"115","Good condition","Cotton ","Brown ",NA,NA,NA,"France","the brand collector","","18/06/2020 ","10777611","Professional seller",NA,115,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cotton-louis-vuitton-handbag-10777611.shtml",115
NA,70,"Louis Vuitton ",NA,"115","Fair condition","Patent leather ","Other ","32 cm","25 cm","15 cm","France","rahma","","15/03/2020 ","9724866","",NA,280,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-9724866.shtml",115
NA,1,"Louis Vuitton ","Houston ","117","Fair condition","Patent leather ","Yellow ","35 cm","30 cm","9 cm","Italy","carola","","09/10/2020 ","12143918","",NA,117,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-patent-leather-houston-louis-vuitton-handbag-12143918.shtml",117
NA,5,"Louis Vuitton ","Josephine  ","118","Fair condition","Cloth ","Grey ","15 cm","19 cm","29 cm","France","frederic","","24/07/2020 ","11195191","",NA,118,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/grey-cloth-josephine-louis-vuitton-handbag-11195191.shtml",118
NA,3,"Louis Vuitton ",NA,"119","Fair condition","Leather ","Black ","25 cm","15 cm",NA,"France","ks","","31/10/2020 ","12572121","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/black-leather-louis-vuitton-handbag-12572121.shtml",119
NA,56,"Louis Vuitton ",NA,"119","Very good condition","Leather ","Beige ","4 cm","7,5 cm",NA,"France","c.luxe","","30/10/2015 ","2014911","",NA,169,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/beige-leather-address-tag-louis-vuitton-2014911.shtml",119
NA,3,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","27 cm","16.5 cm","6 cm","France","ks","","13/10/2020 ","12257722","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12257722.shtml",119
NA,54,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","15 cm","25 cm","4 cm","France","ks","","29/09/2020 ","12020991","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-12020991.shtml",119
NA,3,"Louis Vuitton ","Salsa ","119","Good condition","Cloth ","Burgundy ","26 cm","36 cm","2 cm","Netherlands","alexander","","29/09/2020 ","11979001","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/burgundy-cloth-salsa-louis-vuitton-handbag-11979001.shtml",119
NA,9,"Louis Vuitton ",NA,"119","Fair condition","Patent leather ","Other ","16 cm","18.5 cm","3.5 cm","France","ks","","01/09/2020 ","11621000","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/patent-leather-louis-vuitton-handbag-11621000.shtml",119
NA,4,"Louis Vuitton ","Saint Cloud vintage ","119","Fair condition","Leather ","Yellow ","16.5 cm","16.5 cm",NA,"France","ks","","31/08/2020 ","11592972","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/yellow-leather-saint-cloud-vintage-louis-vuitton-handbag-11592972.shtml",119
NA,5,"Louis Vuitton ",NA,"119","Fair condition","Cloth ","Brown ","40 cm","30 cm","5.5 cm","France","ks","","04/08/2020 ","11308712","",NA,119,"https://us.vestiairecollective.com/women-bags/handbags/louis-vuitton/brown-cloth-louis-vuitton-handbag-11308712.shtml",119
