"Date_sold","Likes","Designer","Model","Price_sold","Condition","Material","Color","Width","Height","Depth","Location","Seller","Sold_with","Online_since","Reference"
"December 11, 2019",8,"Bvlgari","Serpenti","1000 €","Very good condition  More infos","Leather","Pink","21 cm","18 cm","6 cm","Italy","X&Y","","09/12/2019","8921495"
"October 10, 2019",21,"Bvlgari","Serpenti","1120 €","Very good condition  More infos","Leather","White","24 cm","15 cm","7 cm","Germany","lisa","","08/10/2019","8294502"
"December 11, 2019",95,"Bvlgari","Serpenti","1000 €","Very good condition  More infos","Leather","Turquoise","30 cm","23 cm","5 cm","Italy","Isabella","","27/11/2019","8820910"
"May 29, 2020",10,"Bvlgari","Bulgari","800 €","Very good condition  More infos","Patent leather","Red","20 cm","15 cm",NA,"France","Yu","Card or certificate","29/05/2020","10520546"
"April 8, 2020",18,"Bvlgari","Serpenti","1279,90 €","Very good condition  More infos","Exotic leathers","Green","25 cm","13 cm","3 cm","United Kingdom","maya","Dustbag ,Card or certificate","23/01/2020","9249099"
"September 22, 2019",25,"Bvlgari","Serpenti","929,39 €","Very good condition  More infos","Leather","Other","15.5 cm","18 cm","10 cm","United States","vcny","","17/09/2019","8248822"
"January 5, 2020",77,"Bvlgari","Serpenti","1316 €","Very good condition  More infos","Leather","Black","18 cm","12 cm","5 cm","France","cécile","","22/10/2019","8468602"
"January 12, 2020",81,"Bvlgari","Serpenti","950 €","Good condition  More infos","Leather","Green","30 cm","22 cm","5 cm","Italy","Isabella","","02/01/2020","9085188"
"July 10, 2020",42,"Bvlgari","Serpenti","524 €","Very good condition  More infos","Leather","Red","21 cm","17 cm",NA,"Italy","giovanna","","23/12/2019","9023638"
"February 10, 2020",7,"Bvlgari","Serpenti","175 €","Fair condition  More infos","Leather","Red","33 cm","21 cm","14 cm","Italy","Irene","Dustbag","10/02/2020","9400964"
"January 13, 2020",118,"Bvlgari","Serpenti","745 €","Very good condition  More infos","Leather","Red","27 cm","20 cm","6 cm","Italy","Maddalena","","12/12/2019","8953011"
"November 30, 2019",23,"Bvlgari","Serpenti","800 €","Very good condition  More infos","Leather","Pink","20 cm","20 cm","10 cm","France","caroline","","29/11/2019","8842742"
"January 18, 2020",60,"Bvlgari","Serpenti","727,43 €","Very good condition  More infos","Patent leather","Silver",NA,NA,NA,"Australia","linga","","22/12/2019","9014381"
"December 19, 2019",27,"Bvlgari","Serpenti","700 €","Very good condition  More infos","Leather","Blue","27.5 cm","20 cm","8 cm","Italy","Irene","Dustbag ,Card or certificate","18/12/2019","8992406"
"June 5, 2020",66,"Bvlgari","Serpenti","1091,46 €","Very good condition  More infos","Leather","Red","15 cm","18 cm","9.5 cm","Hong Kong","man","","11/12/2019","8927928"
"January 27, 2020",47,"Bvlgari","Serpenti","700 €","Very good condition  More infos","Leather","Ecru","19,5 cm","15 cm","3,5 cm","Italy","beatrice","","03/12/2019","8868539"
"January 22, 2020",114,"Bvlgari","Serpenti","850 €","Very good condition  More infos","Leather","Yellow","25 cm","20 cm","6 cm","Spain","carlota","Dustbag","18/10/2019","8486905"
"November 20, 2019",4,"Bvlgari","Serpenti","1000 €","Very good condition  More infos","Leather","Pink","30 cm","28 cm","15 cm","Italy","Veronique","Card or certificate","17/11/2019","8728223"
"September 8, 2019",80,"Bvlgari","Serpenti","1104,48 €","Very good condition  More infos","Leather","Green","22 cm","14 cm","6 cm","United Kingdom","Parker","Card or certificate","08/08/2019","7788077"
